File,Otsu_Count,Otsu_G,Otsu_Carbon,Otsu_MeanArea,Watershed_Count,Watershed_G,Watershed_Carbon,Watershed_MeanArea
Austenitic Stainless Steel\1x200 MB.jpg,44,2.5095497912871148,0.012567643229166668,5867.886363636364,114,3.883037916139762,0.012567643229166668,1591.622807017544
Austenitic Stainless Steel\Acier A x200 (2).jpg,249,5.010174231052036,0.03132558390299479,17785.767068273093,802,6.697667251439991,0.03132558390299479,5374.862842892768
Austenitic Stainless Steel\Acier A x200.jpg,330,5.416503308274343,0.07402837524414063,13722.921212121211,828,6.7436967787993725,0.07402837524414063,5299.495169082125
Austenitic Stainless Steel\MB DROITE X50.jpg,6,-0.36498154622553614,0.028233333333333333,45053.666666666664,154,4.316943834618731,0.028233333333333333,905.9935064935065
Austenitic Stainless Steel\MB GAUCHE X100.jpg,20,1.372021645595746,0.13392786458333333,11924.5,148,4.259609418542048,0.13392786458333333,814.5067567567568
Austenitic Stainless Steel\MBx100 bas-1_1.jpg,63,3.027409305284798,0.0244234375,3722.5238095238096,108,3.8050337157276477,0.0244234375,1515.5833333333333
Austenitic Stainless Steel\MBx100 bas-2_1.jpg,66,3.0945249538700876,0.010815592447916666,3590.5454545454545,109,3.8183308261587525,0.010815592447916666,1541.348623853211
Austenitic Stainless Steel\MBx100 bas_1.jpg,1,-2.95,0.044786328125000004,1903.0,2,-1.9499783544042546,0.044786328125000004,485.5
Austenitic Stainless Steel\MBx100 haut-1.jpg,46,2.5736815168461895,0.017901497395833334,5328.260869565217,110,3.8315065000956228,0.017901497395833334,1777.0636363636363
Austenitic Stainless Steel\MBx100 haut.jpg,13,0.7505198163633113,0.002416276041666667,20532.923076923078,131,4.08357524416845,0.002416276041666667,1174.854961832061
Austenitic Stainless Steel\MBx100 milieu.jpg,18,1.2200152619531828,0.0024764322916666667,14896.722222222223,132,4.094546599465834,0.0024764322916666667,1377.719696969697
Austenitic Stainless Steel\MBx100 milieu_1.jpg,61,2.9808657119057687,0.020578450520833333,3946.44262295082,104,3.750584753150548,0.020578450520833333,1623.8942307692307
Austenitic Stainless Steel\MBx100bas.jpg,23,1.5736598712504435,0.00676005859375,11412.95652173913,137,4.148185724093583,0.00676005859375,1096.4598540145985
Austenitic Stainless Steel\MBX200 bas-1.jpg,44,2.5095497912871148,0.030022981770833335,5912.931818181818,97,3.650055701232465,0.030022981770833335,1890.0927835051546
Austenitic Stainless Steel\MBx200 bas.jpg,1,-2.95,0.35281139322916666,1980.0,2,-1.9499783544042546,0.35281139322916666,540.0
Austenitic Stainless Steel\MBx200 bas_2.jpg,13,0.7505198163633113,0.006028157552083334,21173.615384615383,114,3.883037916139762,0.006028157552083334,1802.9561403508771
Austenitic Stainless Steel\MBX200 haut.jpg,64,3.0501298735744724,0.1723326171875,3897.59375,88,3.50957143688286,0.1723326171875,2195.6704545454545
Austenitic Stainless Steel\MBX200 milieu.jpg,49,2.664831377854722,0.10089957682291667,5144.122448979592,102,3.72256977059309,0.10089957682291667,1744.0882352941176
Austenitic Stainless Steel\MBX200 milieu_2.jpg,12,0.6350400993702099,0.0026092773437500004,23422.583333333332,107,3.791612909470267,0.0026092773437500004,1993.5514018691588
Austenitic Stainless Steel\MBx200-2.jpg,64,3.0501298735744724,0.1723326171875,3897.59375,88,3.50957143688286,0.1723326171875,2195.6704545454545
Austenitic Stainless Steel\MBx200-3.jpg,49,2.664831377854722,0.10089957682291667,5144.122448979592,102,3.72256977059309,0.10089957682291667,1744.0882352941176
Austenitic Stainless Steel\MBX200.jpg,1,-2.95,0.35281139322916666,1980.0,2,-1.9499783544042546,0.35281139322916666,540.0
Austenitic Stainless Steel\MBX500 haut.jpg,753,6.606712910938728,0.01837491455078125,4549.941567065073,1497,7.59808682073962,0.01837491455078125,2106.8623914495656
Carbone Steel\acier au carbone 1.jpg,175,4.50137239773587,0.1535939453125,983.4971428571429,141,4.189705892241172,0.1535939453125,431.68794326241135
Carbone Steel\acier au carbone 3.jpg,1431,7.533034863349978,0.26811092325846353,2091.7379454926627,2549,8.365960593428905,0.26811092325846353,479.40015692428403
Carbone Steel\acier au carbone 4.jpg,75,3.2789535169872277,0.1570529296875,2775.7066666666665,157,4.344778645303474,0.1570529296875,351.8216560509554
Carbone Steel\acier au carbone 5.jpg,1827,7.88549545430513,0.3299452819824219,1505.3004926108374,2411,8.285659132873903,0.3299452819824219,593.4064703442555
Carbone Steel\acier au carbone 6.jpg,73,3.2399585413201546,0.18197766927083334,2753.178082191781,141,4.189705892241172,0.18197766927083334,648.8723404255319
